rank_global,domain,sector
2855,google.cl,private
4511,sii.cl,private
5882,mercadolibre.cl,private
6783,biobiochile.cl,private
7564,ripley.cl,private
8231,bancoestado.cl,financial
8929,sodimac.cl,private
9297,claveunica.gob.cl,public
9726,meteored.cl,private
10260,sexosur.cl,private
10441,jugabet.cl,private
10638,uchile.cl,private
11331,mercadoshops.cl,private
12299,dump.cl,private
13793,tracker.cl,private
15934,elmostrador.cl,private
16039,sfdc.cl,private
16287,lider.cl,private
18098,chileatiende.gob.cl,public
18135,yapo.cl,private
18941,uc.cl,private
20238,mega.cl,private
21363,abc.cl,private
22190,tie.cl,private
22539,chileautos.cl,private
22552,encancha.cl,private
23162,chiletrabajos.cl,private
23525,locanto.cl,private
23931,ibus.cl,private
25524,nic.cl,private
28651,hostname.cl,private
30034,hosting.cl,private
30422,scielo.cl,private
30908,movistar.cl,private
31525,bcn.cl,private
32476,walmartdigital.cl,private
32949,inc.cl,private
33031,paris.cl,private
35873,udec.cl,private
36153,hostgator.cl,private
36548,n9.cl,private
36612,cooperativa.cl,private
37441,mercadopago.cl,private
39434,archdaily.cl,private
39441,cpanelhost.cl,private
39564,redip.cl,private
39649,bancochile.cl,financial
40067,netline.cl,private
41815,bci.cl,private
42375,t13.cl,private
43319,santander.cl,financial
44699,mineduc.cl,private
45508,ihost.cl,private
47761,chilevision.cl,private
48269,cruzverde.cl,private
48499,ninjahosting.cl,private
49028,theclinic.cl,private
49403,entel.cl,private
49706,adnradio.cl,private
50163,df.cl,private
50214,pjud.cl,private
50497,portalnet.cl,private
51185,publimetro.cl,private
51675,puc.cl,private
53017,wom.cl,private
53134,terra.cl,private
53922,unab.cl,private
53942,usach.cl,private
54643,salcobrand.cl,private
54790,planetahosting.cl,private
54794,telmexchile.cl,private
55276,mercadopublico.cl,private
55631,hnc.cl,private
55647,eldinamo.cl,private
55999,usm.cl,private
56016,benzahosting.cl,private
56063,eldesconcierto.cl,private
56686,cmfchile.cl,private
56723,24horas.cl,private
56802,redgol.cl,private
56871,loteria.cl,private
56934,adidas.cl,private
57036,meganoticias.cl,private
57599,pinterest.cl,private
58155,13.cl,private
58287,soychile.cl,private
58857,blogspot.cl,private
59805,tvn.cl,private
59967,shopee.cl,private
60454,bancofalabella.cl,financial
61018,duoc.cl,private
61498,viajesfalabella.cl,private
61776,powerhost.cl,private
62093,scotiabank.cl,financial
62123,easy.cl,private
62125,ucv.cl,private
62274,ubiobio.cl,private
63152,virtualhosting.cl,private
63331,clarochile.cl,private
63819,dirtrab.cl,private
65015,registrocivil.cl,private
65052,jumbo.cl,private
65423,recorrido.cl,private
65465,trabajando.cl,private
65676,cencosud.cl,private
65700,thenorthface.cl,private
65780,dt.gob.cl,public
66229,conicyt.cl,private
66548,buscalibre.cl,private
66712,despegar.cl,private
67334,cinemark.cl,private
67723,uft.cl,private
68401,correos.cl,private
69179,u-cursos.cl,private
69392,cajalosandes.cl,private
69665,tgr.cl,private
69890,ufro.cl,private
70571,minsal.cl,private
71244,ministeriodesarrollosocial.gob.cl,public
71414,ucsc.cl,private
71912,redsalud.cl,private
72438,pcfactory.cl,private
73092,blue.cl,private
73577,creattiva.cl,private
74254,curriculumnacional.cl,private
74445,hostingplus.cl,private
75166,mutual.cl,private
75552,enel.cl,private
75589,laborum.cl,private
75861,lahora.cl,private
75876,emol.cl,private
75891,bsale.cl,private
76151,junaeb.cl,private
76421,tricot.cl,private
76530,sence.cl,private
77344,nike.cl,private
77441,inacap.cl,private
77680,cinepolischile.cl,private
77852,afc.cl,private
78516,efe.cl,private
78747,espn.cl,private
79086,preunic.cl,private
79124,dbs.cl,private
79130,dalealbo.cl,private
79362,farmaciasahumada.cl,private
79497,turbus.cl,private
79748,autofact.cl,private
79778,scotiabankchile.cl,financial
79916,tottus.cl,private
80153,bancoripley.cl,financial
80594,ticketmaster.cl,private
81037,empleospublicos.cl,private
81096,cge.cl,private
81269,clubhipico.cl,private
81290,aguasandinas.cl,private
81972,doctoralia.cl,private
82072,decathlon.cl,private
82087,emisora.cl,private
82825,sismologia.cl,private
83060,registrodeempresasysociedades.cl,private
83173,reservo.cl,private
83203,antronio.cl,private
83257,meteochile.gob.cl,public
83551,iacc.cl,private
83658,polla.cl,private
83782,gourmet.cl,private
84019,kupos.cl,private
84062,bne.cl,private
84200,integramedica.cl,private
84229,ecn.cl,private
84348,tumundo.cl,private
84638,bcentral.cl,private
85030,skechers.cl,private
85037,megatiempo.cl,private
85128,flashscore.cl,private
85183,ssmaule.cl,private
85510,silkperfumes.cl,private
85542,ctrlit.cl,private
85831,tiendacopec.cl,private
85982,eliteperfumes.cl,private
86016,escaladenotas.cl,private
86155,maicao.cl,private
86371,extranjeria.gob.cl,public
86406,drsimi.cl,private
86595,teletrak.cl,private
86857,cineplanet.cl,private
87102,ilustrado.cl,private
87255,milicenciamedica.cl,private
87261,mitarjetacencosud.cl,private
87709,webescuela.cl,private
88092,red.cl,private
88301,appoderado.cl,private
88436,autopase.cl,private
88906,twinkl.cl,private
89014,practicatest.cl,private
89877,redelcom.cl,private
90093,kameone.cl,private
90912,tracktec.cl,private
91033,limonada.cl,private
91049,sence.gob.cl,public
