base_domain,tld,industry_classification,country_code,subdomain_count
13.cl,,,,2
24horas.cl,,,,2
abc.cl,,,,2
adidas.cl,,,,7
afpcuprum.cl,cl,,CL,2
afphabitat.cl,cl,,CL,28
bancochile.cl,cl,,CL,65
bancoconsorcio.cl,cl,,CL,8
bancoestado.cl,cl,,CL,48
bancofalabella.cl,cl,,CL,49
bancointernacional.cl,cl,,CL,11
bancoripley.cl,cl,,CL,25
bci.cl,cl,,CL,69
bice.cl,cl,,CL,126
bicevida.cl,cl,,CL,42
btgpactual.cl,cl,,CL,107
caja18.cl,cl,,CL,4
cajalosandes.cl,cl,,CL,24
consorcio.cl,cl,,CL,38
coopeuch.cl,cl,,CL,30
hsbc.cl,cl,,CL,1
internacional.cl,cl,,CL,32
itau.cl,cl,,CL,49
laaraucana.cl,cl,,CL,30
losheroes.cl,cl,,CL,71
metlife.cl,cl,,CL,5
principal.cl,cl,,CL,4
redbanc.cl,cl,,CL,16
ripley.cl,,,,1
santander.cl,cl,,CL,47
scotiabank.cl,cl,,CL,30
scotiabankchile.cl,cl,,CL,3
security.cl,cl,,CL,18
sura.cl,cl,,CL,24
transbank.cl,cl,,CL,49
zurich.cl,cl,,CL,2
