rank_global,domain,sector
944,mercadolibre.com.ar,private
1106,lanacion.com.ar,private
1623,promiedos.com.ar,private
2700,google.com.ar,private
6037,pagina12.com.ar,private
6334,mercadopago.com.ar,private
6626,tn.com.ar,private
6927,claro.com.ar,private
6934,lavoz.com.ar,private
7205,ole.com.ar,private
7222,afip.gob.ar,public
7644,losandes.com.ar,private
7969,espn.com.ar,private
8061,diariouno.com.ar,private
8225,correoargentino.com.ar,private
8612,argentina.gob.ar,public
8631,solodeportes.com.ar,private
8729,anses.gob.ar,public
8771,betano.bet.ar,private
9161,zonaprop.com.ar,private
9237,meteored.com.ar,private
9551,bplay.bet.ar,private
9608,educacion.gob.ar,public
9937,tujugada.com.ar,private
10121,jugandoonline.com.ar,private
10663,scba.gov.ar,public
10709,dexter.com.ar,private
10911,cetrogar.com.ar,private
11053,loteriasmundiales.com.ar,private
12702,mrse.com.ar,private
12815,uba.ar,private
15478,mercadoshops.com.ar,private
15585,unlp.edu.ar,public
15825,unc.edu.ar,public
17417,telecentro.net.ar,private
17997,lagaceta.com.ar,private
18265,bancogalicia.com.ar,financial
18286,bna.com.ar,private
19083,bbva.com.ar,financial
19168,personal.com.ar,private
19808,ciudad.com.ar,private
20293,adidas.com.ar,private
20757,betsson.bet.ar,private
21062,bancoprovincia.com.ar,financial
21209,buenosaires.gob.ar,public
21238,dns.ar,private
21349,despegar.com.ar,private
21823,unlam.edu.ar,public
22202,bet365.bet.ar,private
22739,ruta1000.com.ar,private
22766,mendoza.edu.ar,public
23099,sportsbet.bet.ar,private
23177,seguridadvial.gob.ar,public
23352,locanto.com.ar,private
23474,citycenteronline.bet.ar,private
23991,gba.gov.ar,public
24761,moov.com.ar,private
24808,smn.gob.ar,public
25347,allaccess.com.ar,private
26484,blogspot.com.ar,private
27137,unr.edu.ar,public
28850,utn.edu.ar,public
29918,jujuy.edu.ar,public
30539,iplanisp.com.ar,private
32027,uncu.edu.ar,public
32835,riu.edu.ar,public
33101,unl.edu.ar,public
35613,telecom.net.ar,private
35869,aerolineas.com.ar,private
36110,gba.gob.ar,public
36442,prima.com.ar,private
36534,lacapital.com.ar,private
36559,unne.edu.ar,public
38400,conicet.gov.ar,public
38804,fibertel.com.ar,private
38908,mendoza.gov.ar,public
39184,cba.gov.ar,public
41321,santander.com.ar,financial
43080,rionegro.com.ar,private
43508,movistar.com.ar,private
43942,flow.com.ar,private
44181,pedidosya.com.ar,private
45410,redlink.com.ar,private
46997,cronica.com.ar,private
47137,parati.com.ar,private
47296,bvconline.com.ar,private
47316,speedy.com.ar,private
47353,viapais.com.ar,private
47611,uca.edu.ar,public
47619,advance.com.ar,private
47896,tntsports.com.ar,private
48038,galicia.ar,private
48785,tripadvisor.com.ar,private
48871,unq.edu.ar,public
49079,educ.ar,private
49654,carrefour.com.ar,private
50232,uncoma.edu.ar,public
51441,unicen.edu.ar,public
53195,telecom.com.ar,private
53511,bcra.gob.ar,public
54161,uner.edu.ar,public
54168,pami.org.ar,private
54775,jus.gov.ar,public
55304,santafe.gov.ar,public
56469,arba.gov.ar,public
57048,telam.com.ar,private
57141,icbc.com.ar,private
57312,mdp.edu.ar,public
57565,digitalsport.com.ar,private
59601,macro.com.ar,private
59641,telmex.net.ar,private
60424,bocajuniors.com.ar,private
60763,diariodecuyo.com.ar,private
61860,uala.com.ar,private
62352,airedesantafe.com.ar,private
63047,austral.edu.ar,public
63085,rionegro.gov.ar,public
63422,ticketek.com.ar,private
63948,bancopatagonia.com.ar,financial
64080,easy.com.ar,private
64127,visa.com.ar,private
64719,unlu.edu.ar,public
64855,supervielle.com.ar,private
65137,airbnb.com.ar,private
66277,unju.edu.ar,public
66470,pjn.gov.ar,public
66631,elsol.com.ar,private
67154,eltrecetv.com.ar,private
67464,naturacosmeticos.com.ar,private
67888,opensports.com.ar,private
68461,trilogica.com.ar,private
68583,stockcenter.com.ar,private
68796,jumbo.com.ar,private
68841,telepase.com.ar,private
69653,entrerios.gov.ar,public
70019,ridsa.com.ar,private
70080,turismocity.com.ar,private
70110,nacionservicios.com.ar,private
70667,elgrafico.com.ar,private
71041,abc.gob.ar,public
71321,vertv.net.ar,private
71647,bue.edu.ar,public
71669,unsl.edu.ar,public
71744,cinemarkhoyts.com.ar,private
71900,pronto.com.ar,private
71960,bumeran.com.ar,private
72585,unla.edu.ar,public
72799,plataforma10.com.ar,private
72900,elliberal.com.ar,private
72912,transfermarkt.com.ar,private
73048,paparazzi.com.ar,private
73347,elterritorio.com.ar,private
74011,elancasti.com.ar,private
74026,0223.com.ar,private
74071,bancociudad.com.ar,financial
74343,coto.com.ar,private
75331,cotodigital.com.ar,private
75378,supermercadosdia.com.ar,private
75392,movistararena.com.ar,private
75640,almundo.com.ar,private
75954,bancainternet.com.ar,private
76155,mecon.gov.ar,public
76309,bidcom.com.ar,private
76384,tuenti.com.ar,private
76389,0221.com.ar,private
76859,abc.gov.ar,public
76865,ellitoral.com.ar,private
76926,nuevodiarioweb.com.ar,private
77097,chaco.gov.ar,public
77306,laarena.com.ar,private
77416,oca.com.ar,private
77518,nike.com.ar,private
77665,chaco.gob.ar,public
77696,sporting.com.ar,private
77974,gde.gob.ar,public
78095,betwarrior.bet.ar,private
78602,cheeky.com.ar,private
78753,primeraedicion.com.ar,private
79256,centraldepasajes.com.ar,private
79393,agroads.com.ar,private
79478,elcordillerano.com.ar,private
79569,datawebhosting.com.ar,private
79816,undav.edu.ar,public
80303,fedpat.com.ar,private
80337,quepasasalta.com.ar,private
80347,rosario.gob.ar,public
80349,dnrpa.gov.ar,public
80406,educaciontuc.gov.ar,public
80552,adnsur.com.ar,private
80765,uvq.edu.ar,public
81084,eldiariodelapampa.com.ar,private
