rank_global,domain,sector
5643,google.com.bo,private
42577,eldeber.com.bo,private
51664,impuestos.gob.bo,public
66898,uagrm.edu.bo,public
67387,unitel.bo,private
67510,reduno.com.bo,private
75897,wimaxtigo.bo,private
77103,bcp.com.bo,financial
78637,ucb.edu.bo,public
80242,minedu.gob.bo,public
80566,bancounion.com.bo,financial
87703,upds.edu.bo,public
90908,ruat.gob.bo,public
91711,trabajopolis.bo,private
91722,udabol.edu.bo,public
96631,supernet.com.bo,private
105240,sie.gob.bo,public
110704,vnet.bo,private
117962,umsa.bo,private
118274,opinion.com.bo,private
119656,entel.bo,private
124836,umss.edu.bo,public
127417,mercadolibre.com.bo,private
132653,nic.bo,private
146414,bancoecofuturo.com.bo,financial
150038,entelnet.bo,private
152567,tigo.bo,private
153991,boa.bo,private
154234,tigo.net.bo,private
156721,larazon.bo,private
159026,sigep.gob.bo,public
160720,oep.org.bo,private
161317,minsalud.gob.bo,public
162037,upsa.edu.bo,public
167430,usfx.bo,private
180603,cotas.com.bo,private
192479,sicoes.gob.bo,public
194150,pedidosya.com.bo,private
198492,dismac.com.bo,private
203376,locanto.com.bo,private
203908,scielo.org.bo,private
205088,meteored.com.bo,private
209142,radios.com.bo,private
210180,glo.bo,private
214703,trabajando.com.bo,private
215673,aduana.gob.bo,public
231413,paginasiete.bo,private
241295,donweb.bo,private
248147,lapatria.bo,private
255470,tigo.com.bo,private
282347,aclo.org.bo,private
286444,bmsc.com.bo,private
303974,erbol.com.bo,private
308323,uajms.edu.bo,public
320618,ende.bo,private
325639,viva.com.bo,private
330372,abi.bo,private
330533,youtube.bo,private
338854,youtube.com.bo,private
345578,bancosol.com.bo,financial
351682,lapaz.bo,private
373273,bnb.com.bo,private
393447,unifranz.edu.bo,public
406924,elpais.bo,private
415930,ypfb.gob.bo,public
417516,infocallp.edu.bo,public
417879,asfi.gob.bo,public
417920,agetic.gob.bo,public
420827,atb.com.bo,private
437575,uto.edu.bo,public
456698,bg.com.bo,private
464514,usalesiana.edu.bo,public
474886,baneco.com.bo,private
475215,cinemark.com.bo,private
475301,contraloria.gob.bo,public
479575,digital.bo,private
480702,ylb.gob.bo,public
481675,abc.gob.bo,public
484450,urgente.bo,private
500342,cns.gob.bo,public
507639,emi.edu.bo,public
511334,ese.com.bo,private
516974,gmsantacruz.gob.bo,public
522573,organojudicial.gob.bo,public
522646,fiscalia.gob.bo,public
523217,redcotel.bo,private
523587,mp.gob.bo,public
525859,anh.gob.bo,public
528558,ine.gob.bo,public
529784,gestora.bo,private
540611,comteco.com.bo,private
543591,vallegrande.com.bo,private
546636,gac.com.bo,private
547779,tbs.edu.bo,public
549128,cancilleria.gob.bo,public
558614,bcb.gob.bo,public
560509,uatf.edu.bo,public
561699,tiendaamiga.com.bo,private
574942,airbnb.com.bo,private
577927,bancofie.com.bo,financial
583718,mmaya.gob.bo,public
584017,seprec.gob.bo,public
592532,cinecenter.com.bo,private
595571,rree.gob.bo,public
595695,senasag.gob.bo,public
596498,vision360.bo,private
597794,upea.bo,private
598047,eldia.com.bo,private
602530,uabjb.edu.bo,public
612096,eje.com.bo,private
616709,uab.edu.bo,public
616920,justicia.gob.bo,public
624838,mc4.com.bo,private
626158,mintrabajo.gob.bo,public
637538,panamericana.bo,private
637830,yape.com.bo,private
639790,esam.edu.bo,public
643024,uap.edu.bo,public
656604,multicine.com.bo,private
658714,toi.bo,private
659392,mingobierno.gob.bo,public
659481,produccion.gob.bo,public
660668,naabol.gob.bo,public
663184,oruro.gob.bo,public
674524,ciudadaniadigital.bo,private
700794,fairplay.com.bo,private
702593,segip.gob.bo,public
704872,redbolivision.tv.bo,private
716634,planificacion.gob.bo,public
717294,vivaonline.com.bo,private
724903,uecologica.edu.bo,public
730251,infocasas.com.bo,private
734053,ucebol.edu.bo,public
739321,ibce.org.bo,private
739436,cba.com.bo,private
746602,aevivienda.gob.bo,public
747686,alianza.com.bo,private
748193,amarket.com.bo,private
749549,ardunel.com.bo,private
751553,bago.com.bo,private
753909,biopetrol.com.bo,private
754078,bja.gob.bo,public
756676,casaideas.com.bo,private
758951,cnslp.gob.bo,public
759570,construex.com.bo,private
759904,cossmil.mil.bo,private
760616,cumbre.edu.bo,public
761677,delapaz.bo,private
762400,digicorp.com.bo,private
764837,educa.com.bo,private
765171,ejercito.mil.bo,private
766183,epson.com.bo,private
769772,fsa.bo,private
787931,medicamentos.bo,private
788170,megapps.com.bo,private
788429,mercat.bo,private
790260,montessorisucre.edu.bo,public
791078,multired.com.bo,private
796480,panamericansuccess.edu.bo,public
799199,policiadnfr.gob.bo,public
804835,samsung.com.bo,private
805419,sawers.com.bo,private
811106,superticket.bo,private
813843,ticketsbolivia.com.bo,private
815088,trabajito.com.bo,private
815232,transcopacabanasa.com.bo,private
816421,ucatec.edu.bo,public
816474,udelosandes.edu.bo,public
816484,udivirtual.com.bo,private
816937,unefco.edu.bo,public
817102,unitepc.com.bo,private
817156,univida.bo,private
817554,utb.edu.bo,public
821111,www.gob.bo,public
824752,cer.bo,private
839168,kayak.bo,private
853449,ruralytierras.gob.bo,public
853463,egpp.gob.bo,public
869188,camsa.com.bo,private
876538,redux.com.bo,private
878837,uatfpostgrado.edu.bo,public
878992,unsxx.edu.bo,public
888907,umsa.edu.bo,public
891518,iweb.com.bo,private
918251,farmaciaschavez.com.bo,private
919111,genex.com.bo,private
941314,pragmainvest.com.bo,private
944545,probolivia.gob.bo,public
974179,elmundo.com.bo,private
