rank_global,domain,sector
385,google.com.br,private
510,uol.com.br,private
808,shopee.com.br,private
918,amazon.com.br,private
940,mercadolivre.com.br,private
966,caixa.gov.br,public
974,www.gov.br,public
1009,olx.com.br,private
1048,terra.com.br,private
1189,magazineluiza.com.br,private
1211,acesso.gov.br,public
1216,cnnbrasil.com.br,private
1267,hostgator.com.br,private
1290,jusbrasil.com.br,private
1555,tudogostoso.com.br,private
1723,letras.mus.br,private
1731,tjsp.jus.br,private
1916,alura.com.br,private
2360,nubank.com.br,financial
2672,ifood.com.br,private
2787,locaweb.com.br,private
3079,intelbras.com.br,private
3122,itau.com.br,financial
3284,santander.com.br,financial
3810,bb.com.br,private
3923,serasa.com.br,private
3954,fazenda.gov.br,public
4044,abril.com.br,private
4404,estadao.com.br,private
4492,usp.br,private
4728,mercadopago.com.br,private
4755,neurotech.com.br,private
4802,sicredi.com.br,private
4947,casasbahia.com.br,private
5010,bradesco.com.br,financial
5107,correios.com.br,private
5175,inss.gov.br,public
5254,vivo.com.br,private
5364,kinghost.com.br,private
5374,claro.com.br,private
5431,correiobraziliense.com.br,private
5443,bancointer.com.br,financial
5581,dafiti.com.br,private
5594,reclameaqui.com.br,private
5647,virtua.com.br,private
5762,netshoes.com.br,private
5809,ntp.br,private
6016,uai.com.br,private
6078,lojasrenner.com.br,private
6093,enjoei.com.br,private
6136,em.com.br,private
6236,kabum.com.br,private
6299,boticario.com.br,private
6356,zapimoveis.com.br,private
6462,privacy.com.br,private
6649,scielo.br,private
6666,poder360.com.br,private
6717,elo7.com.br,private
6726,lance.com.br,private
6739,planalto.gov.br,public
6836,olhardigital.com.br,private
7023,vivareal.com.br,private
7084,rnp.br,private
7121,itatiaia.com.br,private
7138,inep.gov.br,public
7146,cartacapital.com.br,private
7245,ndmais.com.br,private
7289,leroymerlin.com.br,private
7303,cifraclub.com.br,private
7322,nsctotal.com.br,private
7323,espn.com.br,private
7326,drogaraia.com.br,private
7328,webmotors.com.br,private
7389,eb.mil.br,private
7411,dns.br,private
7417,flashscore.com.br,private
7420,drogasil.com.br,private
7485,madeiramadeira.com.br,private
7558,bling.com.br,private
7733,climatempo.com.br,private
7897,todamateria.com.br,private
8063,oantagonista.com.br,private
8072,meutimao.com.br,private
8077,doctoralia.com.br,private
8095,colaboraread.com.br,private
8207,otempo.com.br,private
8208,ig.com.br,private
8224,claro.net.br,private
8335,diariodocomercio.com.br,private
8357,bibliaonline.com.br,private
8542,drogariasaopaulo.com.br,private
8630,brainly.com.br,private
8710,iti.br,private
8813,tiny.com.br,private
8876,redtube.com.br,private
8881,resultadofacil.com.br,private
9009,tjrs.jus.br,private
9066,diariodolitoral.com.br,private
9077,gazetasp.com.br,private
9089,pciconcursos.com.br,private
9108,placardefutebol.com.br,private
9157,tribunademinas.com.br,private
9188,avaeduc.com.br,private
9245,portaldozacarias.com.br,private
9388,nfse.gov.br,public
9416,investidor10.com.br,private
9554,riovagas.com.br,private
9696,gastecnologia.com.br,private
9747,ufmg.br,private
9928,cebraspe.org.br,private
9973,xvideosporno.blog.br,private
10088,educacao.sp.gov.br,public
10104,quintoandar.com.br,private
10219,mercadoshops.com.br,private
10308,xvideo.vlog.br,private
10365,mobiauto.com.br,private
10501,serpro.gov.br,public
10535,goias.gov.br,public
10542,sympla.com.br,private
10639,clickpetroleoegas.com.br,private
10822,tjmg.jus.br,private
11394,blogspot.com.br,private
11595,bcb.gov.br,public
11911,rdstation.com.br,private
12205,ebc.com.br,private
12292,timbrasil.com.br,private
12368,sicoob.com.br,private
12375,natura.com.br,private
12634,infomoney.com.br,private
12989,unicamp.br,private
13005,vteximg.com.br,private
13016,clicrbs.com.br,private
13363,saude.gov.br,public
13431,bancopan.com.br,financial
13552,vtex.com.br,private
13668,ufrgs.br,private
13677,jsuol.com.br,private
13747,ufrj.br,private
13814,americanas.com.br,private
13968,imguol.com.br,private
14142,ddns-intelbras.com.br,private
14157,mlcdn.com.br,private
14770,vlibras.gov.br,public
14771,tripadvisor.com.br,private
14868,senac.br,private
14993,in.gov.br,public
15012,zedia.com.br,private
15170,owill.com.br,private
15179,intelbrasp2p.com.br,private
15211,clarocdn.com.br,private
15231,ns2online.com.br,private
15293,helloshopping.com.br,private
15412,b3.com.br,private
15438,ottvs.com.br,private
15754,ufsc.br,private
16013,infojobs.com.br,private
16076,catho.com.br,private
16108,meliuz.com.br,private
16221,band.com.br,private
16290,carrefour.com.br,private
16414,riachuelo.com.br,private
16517,fgv.br,private
16528,fiocruz.br,private
16537,centauro.com.br,private
16547,voeazul.com.br,private
16554,sistema.gov.br,public
16704,cea.com.br,private
16914,estrategiaconcursos.com.br,private
16917,prodns.com.br,private
17089,receitasdepesos.com.br,private
17156,estacio.br,private
17177,serasaexperian.com.br,private
17185,sebrae.com.br,private
17204,eudora.com.br,private
17274,oghost.com.br,private
17280,voegol.com.br,private
17351,cnpq.br,private
17358,inpe.br,private
17402,vagas.com.br,private
17648,queropassagem.com.br,private
17688,ibge.gov.br,public
17704,airbnb.com.br,private
17899,unesp.br,private
17957,ufba.br,private
17977,tcdn.com.br,private
18082,istoedinheiro.com.br,private
18204,havan.com.br,private
18211,dataprev.gov.br,public
18285,iclinic.com.br,private
18497,esocial.gov.br,public
18585,radios.com.br,private
18587,magazinevoce.com.br,private
18612,proderj.rj.gov.br,public
18905,glassdoor.com.br,private
18994,chavesnamao.com.br,private
19139,econodata.com.br,private
19203,inpi.gov.br,public
19213,adidas.com.br,private
19323,mec.gov.br,public
19460,consultaremedios.com.br,private
