rank_global,domain,sector
4020,google.com.ec,private
7925,kinogo.ec,private
8068,loveread.ec,private
8124,sri.gob.ec,public
8849,iess.gob.ec,public
9377,cinecalidad.ec,private
18519,educacion.gob.ec,public
18755,cedia.org.ec,private
18766,primicias.ec,private
27791,dns.ec,private
31742,official.ec,private
32812,bce.fin.ec,private
34243,dominiosecuador.ec,private
36249,mercadolibre.com.ec,private
39395,rus.ec,private
40318,nic.ec,private
46673,espol.edu.ec,public
46761,uleam.edu.ec,public
48398,compraspublicas.gob.ec,public
51921,uce.edu.ec,public
55959,msp.gob.ec,public
56372,inclusion.gob.ec,public
56911,puce.edu.ec,public
56931,expreso.ec,private
57228,upse.edu.ec,public
59558,claro.com.ec,private
59650,deprati.com.ec,private
61426,funcionjudicial.gob.ec,public
62278,ug.edu.ec,public
63579,ctt.ec,private
66003,itb.edu.ec,public
68629,ucuenca.edu.ec,public
69651,espoch.edu.ec,public
69843,extra.ec,private
69851,gestiondocumental.gob.ec,public
71706,espe.edu.ec,public
72535,utpl.edu.ec,public
73203,trabajo.gob.ec,public
74395,tia.com.ec,private
74692,registrocivil.gob.ec,public
76256,epn.edu.ec,public
76700,alfanet.net.ec,private
76753,ant.gob.ec,public
77294,utn.edu.ec,public
79554,bet593.ec,private
80607,utmachala.edu.ec,public
81808,quito.gob.ec,public
82813,servientrega.com.ec,private
83699,www.gob.ec,public
83988,radios.com.ec,private
84739,uea.edu.ec,public
85157,espn.com.ec,private
85479,ube.edu.ec,public
85807,biess.fin.ec,private
86369,amt.gob.ec,public
86549,policia.gob.ec,public
87171,klmanga.ec,private
88182,ueb.edu.ec,public
91185,bancasinhorarios.com.ec,private
92414,registrounicoedusup.gob.ec,public
93900,mtop.gob.ec,public
94630,uteq.edu.ec,public
94793,motphim.ec,private
96489,ejercito.mil.ec,private
98661,ticketshow.com.ec,private
99788,usfq.edu.ec,public
103350,lahora.com.ec,private
104464,ister.edu.ec,public
106134,aitec.edu.ec,public
114085,utb.edu.ec,public
115899,etapa.net.ec,private
116510,unemi.edu.ec,public
122293,1xbet.ec,private
122664,ups.edu.ec,public
123801,ncdn.ec,private
124277,unl.edu.ec,public
125433,punto.net.ec,private
129858,mercadoshops.com.ec,private
131337,registrosocial.gob.ec,public
133599,uazuay.edu.ec,public
137980,z-library.ec,private
139052,eldiario.ec,private
139413,netlife.ec,private
141708,dinersclub.com.ec,private
141770,cyberweb.net.ec,private
145317,utm.edu.ec,public
148657,waca.ec,private
149193,bancointernacional.com.ec,financial
149394,pizd.ec,private
150620,eltelegrafo.com.ec,private
152491,senescyt.gob.ec,public
155129,produbanco.com.ec,financial
155789,watchwrestling.ec,private
156778,cne.gob.ec,public
156870,firmadigital.gob.ec,public
160590,ute.edu.ec,public
161166,elfutbolero.com.ec,private
161768,ucacue.edu.ec,public
162775,udla.edu.ec,public
167255,eppetroecuador.ec,private
172799,tuenti.ec,private
172811,puntonet.ec,private
173220,cedia.edu.ec,public
174861,fiscalia.gob.ec,public
176455,miclaro.com.ec,private
177666,base.ec,private
178048,ecuaconsultas.ec,private
180579,fibramax.ec,private
180914,loteria.com.ec,private
182438,uta.edu.ec,public
183091,upec.edu.ec,public
183413,extreme.net.ec,private
183437,pedidosya.com.ec,private
184228,educarecuador.gob.ec,public
184347,atm.gob.ec,public
185275,ffaa.mil.ec,private
185301,fullcarga-titan.com.ec,private
185724,sportbet.ec,private
185765,unesum.edu.ec,public
187920,mercadopago.com.ec,private
188155,zapping.ec,private
192075,ulvr.edu.ec,public
193091,telconet.ec,private
193324,uti.edu.ec,public
194736,cnt-grms.ec,private
196044,uisrael.edu.ec,public
197076,ant.com.ec,private
204570,obraspublicas.gob.ec,public
204748,ambiente.gob.ec,public
206821,iplanet.ec,private
207889,umet.edu.ec,public
208783,multicines.com.ec,private
208962,locanto.com.ec,private
210300,metroecuador.com.ec,private
210726,fomentoacademico.gob.ec,public
213855,multinova.com.ec,private
216923,airbnb.com.ec,private
217641,salud.gob.ec,public
218343,mim.ec,private
220132,pucesm.edu.ec,public
220968,uasb.edu.ec,public
223085,pucesd.edu.ec,public
225498,uees.edu.ec,public
229320,itsup.edu.ec,public
229470,pichincha.gob.ec,public
234438,acsmedical.com.ec,private
238904,movistar.com.ec,private
241124,cnelep.gob.ec,public
245556,aig.com.ec,private
246373,telefonica.com.ec,private
248294,one.net.ec,private
253253,supercias.gob.ec,public
255798,finanzas.gob.ec,public
258128,synlab-ecuador.ec,private
258820,larepublica.ec,private
270108,cloudapp.ec,private
270339,impsat.net.ec,private
276153,aduana.gob.ec,public
278260,flacsoandes.edu.ec,public
280400,iex.ec,private
284885,utc.edu.ec,public
292778,webserver.ec,private
293055,yachaytech.edu.ec,public
299891,unach.edu.ec,public
300641,visa.com.ec,private
306959,elmercurio.com.ec,private
315708,rappi.com.ec,private
317286,placetopay.ec,private
322634,infancia.gob.ec,public
323467,ucsg.edu.ec,public
324341,buscalibre.ec,private
326050,youtube.com.ec,private
341536,uide.edu.ec,public
350523,uniandes.edu.ec,public
351951,eeq.com.ec,private
353606,ecnet.ec,private
356523,comunicacion.gob.ec,public
359854,ministeriodelinterior.gob.ec,public
362011,studiofutbol.com.ec,private
362244,intercommerce.com.ec,private
362835,ecua.net.ec,private
363309,fastboy.com.ec,private
365834,contactociudadano.gob.ec,public
369593,iniap.gob.ec,public
371981,pharmacys.com.ec,private
374736,aki.com.ec,private
375415,unae.edu.ec,public
378792,netlife.net.ec,private
378973,armada.mil.ec,private
379271,cancilleria.gob.ec,public
385592,recetasnestle.com.ec,private
387948,ubuy.ec,private
390477,bgr.com.ec,private
400170,igepn.edu.ec,public
406378,stupendo.ec,private
408866,ministeriodegobierno.gob.ec,public
409403,securitydata.net.ec,private
409554,contraloria.gob.ec,public
410954,reinec.com.ec,private
411955,speedy.net.ec,private
