rank_global,domain,sector
1051,amazon.com.mx,private
1124,mercadolibre.com.mx,private
1570,www.gob.mx,public
2204,google.com.mx,private
3729,sat.gob.mx,public
4063,unam.mx,private
4545,caliente.mx,private
4623,uninet.net.mx,private
5186,walmart.com.mx,private
5754,liverpool.com.mx,private
6031,yts.mx,private
6321,elfinanciero.com.mx,private
6459,excelsior.com.mx,private
6754,jornada.com.mx,private
7041,oem.com.mx,private
7294,eluniversal.com.mx,private
7487,ticketmaster.com.mx,private
7643,homedepot.com.mx,private
7735,rtb.mx,private
7779,hostgator.mx,private
8198,nmas.com.mx,private
8515,espn.com.mx,private
8661,betmexico.mx,private
9065,meteored.mx,private
9257,stps.gob.mx,public
9653,nu.com.mx,private
9751,locanto.com.mx,private
9773,sm3ha.mx,private
10702,elektra.mx,private
13002,mercadoshops.com.mx,private
14611,bbva.mx,financial
14757,mx-ns.mx,private
15294,tec.mx,private
16064,att.com.mx,private
16142,sams.com.mx,private
16322,bodegaaurrera.com.mx,private
16437,vogue.mx,private
16511,attmex.mx,private
16882,udg.mx,private
16995,uanl.mx,private
17220,vanguardia.com.mx,private
17379,infonavit.org.mx,private
17467,sears.com.mx,private
17981,record.com.mx,private
18078,shein.com.mx,private
18257,cfe.mx,private
18553,imss.gob.mx,public
18703,plu.mx,private
18980,nacionfutbol.com.mx,private
19224,occ.com.mx,private
19242,doctoralia.com.mx,private
19601,buap.mx,private
19681,eleconomista.com.mx,private
20341,bet365.mx,private
20521,prod-infinitum.com.mx,private
20817,chedraui.com.mx,private
20819,adidas.mx,private
21738,yts-official.mx,private
21997,autozone.com.mx,private
22019,emisoras.com.mx,private
22620,ods.com.mx,private
22637,uam.mx,private
23055,blogspot.mx,private
24293,akkyservicios.mx,private
24669,scielo.org.mx,private
24902,kebhana.mx,private
25071,inegi.org.mx,private
26738,santander.com.mx,financial
27142,expansion.mx,private
27691,itesm.mx,private
27699,forbes.com.mx,private
28207,debate.com.mx,private
28448,mercadopago.com.mx,private
29922,uv.mx,private
30166,megared.net.mx,private
30582,ipn.mx,private
31172,totalplay.com.mx,private
31587,heraldodemexico.com.mx,private
32248,pinterest.com.mx,private
32840,alestra.net.mx,private
33142,banxico.org.mx,private
33880,proceso.com.mx,private
34291,tecnm.mx,private
34509,x10.mx,private
36169,gq.com.mx,private
36655,tripadvisor.com.mx,private
37001,ine.mx,private
37221,costco.com.mx,private
37866,becasbenitojuarez.gob.mx,public
37985,informador.mx,private
38056,radioformula.com.mx,private
38069,nic.mx,private
39549,hsbc.com.mx,private
41033,elsiglodetorreon.com.mx,private
41087,cdmx.gob.mx,public
41157,codere.mx,private
42288,glamour.mx,private
42675,rappi.com.mx,private
42950,suburbia.com.mx,private
44388,shopee.com.mx,private
44445,expedia.mx,private
45431,airbnb.mx,private
45536,officedepot.com.mx,private
46918,petco.com.mx,private
46960,gotrendier.mx,private
46987,flashscore.com.mx,private
47111,megacable.com.mx,private
47126,sanborns.com.mx,private
48230,yucatan.com.mx,private
49973,diario.mx,private
51702,am.com.mx,private
52067,sep.gob.mx,public
52085,izzi.mx,private
52862,kaa.mx,private
52903,vw.com.mx,private
52980,uaeh.edu.mx,public
53391,bodas.com.mx,private
53617,opentable.com.mx,private
53650,ado.com.mx,private
53808,edomex.gob.mx,public
54590,burodecredito.com.mx,private
55052,farmaciasanpablo.com.mx,private
55964,cinvestav.mx,private
56688,utel.edu.mx,public
56756,controldns.mx,private
56862,cyberpuerta.mx,private
56889,bestday.com.mx,private
56971,elmanana.com.mx,private
57658,playdoit.mx,private
57804,uabc.mx,private
58420,colmex.mx,private
58449,sephora.com.mx,private
58632,platacard.mx,private
58888,despegar.com.mx,private
58942,xataka.com.mx,private
59701,cjf.gob.mx,public
59721,bbvanet.com.mx,financial
60068,ugto.mx,private
60069,syscom.mx,private
60104,tiempo.com.mx,private
60233,heb.com.mx,private
60313,dof.gob.mx,public
60460,underarmour.com.mx,private
61192,movistar.com.mx,private
61403,sre.gob.mx,public
61529,publimetro.com.mx,private
61902,gettyimages.com.mx,private
62131,converse.com.mx,private
63586,issste.gob.mx,public
64094,michoacan.gob.mx,public
64818,uninet-ide.com.mx,private
65106,mitec.com.mx,private
65368,sinembargo.mx,private
66315,prodns.mx,private
66348,thothub.mx,private
66391,ife.org.mx,private
66476,ceneval.edu.mx,public
66613,tecmilenio.mx,private
66892,skyscanner.com.mx,private
67119,dedinero.com.mx,private
67167,lamudi.com.mx,private
67183,foxsports.com.mx,private
67208,bancoazteca.com.mx,financial
67412,trivago.com.mx,private
67956,steren.com.mx,private
68236,lacomer.com.mx,private
68529,paquetexpress.com.mx,private
68534,ift.org.mx,private
68622,uline.mx,private
69067,facturama.mx,private
69164,buscalibre.com.mx,private
69237,etn.com.mx,private
69363,chevrolet.com.mx,private
69748,upn.mx,private
69972,trovit.com.mx,private
70469,telediario.mx,private
70482,walmartimages.com.mx,private
70737,nissan.com.mx,private
70868,cdn.gob.mx,public
70887,toyota.mx,private
71149,llave.gob.mx,public
71417,flexi.com.mx,private
71573,correosdemexico.gob.mx,public
71848,delsol.com.mx,private
72516,salud.gob.mx,public
72597,ford.mx,private
72754,betano.mx,private
72789,waldos.com.mx,private
72859,kfc.com.mx,private
73346,repuve.gob.mx,public
73359,udlap.mx,private
73510,fonacot.gob.mx,public
73583,terra.com.mx,private
73663,diariocambio.com.mx,private
73771,sensacine.com.mx,private
73836,pandoraoficial.com.mx,private
73944,uaemex.mx,private
74133,eticket.mx,private
74227,dominos.com.mx,private
74279,adquiramexico.com.mx,private
