rank_global,domain,sector
5734,google.com.py,private
21893,set.gov.py,public
32592,abc.com.py,private
40247,mitic.gov.py,public
59793,telecel.com.py,private
62288,personal.net.py,private
62972,itau.com.py,financial
70951,dncp.gov.py,public
72241,tupi.com.py,private
72834,shoppingchina.com.py,private
74861,lanacion.com.py,private
77856,una.py,private
80135,mec.gov.py,public
80418,ips.gov.py,public
82346,farmacenter.com.py,private
82412,puntofarma.com.py,private
87249,meteored.com.py,private
89509,csj.gov.py,public
91258,versus.com.py,private
92009,mec.edu.py,public
92734,talisman.com.py,private
95979,senete.com.py,private
96215,zonaroja.com.py,private
101393,dns.py,private
109150,copaco.com.py,private
116481,senatics.gov.py,public
116885,mercadolibre.com.py,private
120699,mercadoshops.com.py,private
127446,hoy.com.py,private
128395,mspbs.gov.py,public
131138,multimedios.com.py,private
135782,tigo.com.py,private
145217,paraguay.gov.py,public
146769,conacyt.gov.py,public
147922,mtess.gov.py,public
150526,claro.com.py,private
155944,personal.com.py,private
158561,rieder.net.py,private
158655,metasports.com.py,private
159023,une.edu.py,public
163541,bancontinental.com.py,financial
171161,cellshop.com.py,private
176807,contrataciones.gov.py,public
181481,pj.gov.py,public
183984,uaa.edu.py,public
184639,bnf.gov.py,public
187660,cambioschaco.com.py,private
189801,bristol.com.py,private
191030,telefuturo.com.py,private
191578,ande.gov.py,public
191984,solbet.com.py,private
193298,teisa.com.py,private
197350,popular.com.py,private
206389,vue.org.py,private
209554,chacomer.com.py,private
212418,asunsex.com.py,private
213270,hot.com.py,private
216970,pedidosya.com.py,private
218589,clarotv.com.py,private
234494,azarlatino.com.py,private
273181,sinet.com.py,private
279524,netvision.com.py,private
282153,mre.gov.py,public
284481,pla.net.py,private
295333,nic.py,private
299310,sol.com.py,private
316436,ueno.com.py,private
322052,futura100.com.py,private
322343,starbucks.com.py,private
325789,aquipago.com.py,private
327149,familiar.com.py,private
332027,mds.gov.py,public
340230,youtube.com.py,private
353303,infonet.com.py,private
363738,unades.edu.py,public
364875,bcp.gov.py,public
368173,tempusnet.com.py,private
411108,apf.org.py,private
411535,aduana.gov.py,public
420138,bacn.gov.py,public
428554,bancard.com.py,private
430406,farmatotal.com.py,private
433385,bancognb.com.py,financial
450915,baco.com.py,private
454447,cronica.com.py,private
457488,neo.com.py,private
459334,sudameris.com.py,private
459440,ubuy.com.py,private
462809,dnit.gov.py,public
465424,mercadopago.com.py,private
466533,meteorologia.gov.py,public
467707,ip.gov.py,public
470461,roblox.com.py,private
472585,nsa.com.py,private
472752,tigosports.com.py,private
473465,kemsa.com.py,private
474881,bancobasa.com.py,financial
480084,extra.com.py,private
491943,lacework.com.py,private
492928,casarica.com.py,private
496478,uc.edu.py,public
516196,elnacional.com.py,private
519243,superseis.com.py,private
522798,central.edu.py,public
541748,porter.com.py,private
544185,americana.edu.py,public
547879,unisal.edu.py,public
548712,airbnb.com.py,private
559749,mopc.gov.py,public
562777,salemmaonline.com.py,private
565019,flytec.com.py,private
565184,tiendanaranja.com.py,private
566197,mades.gov.py,public
568877,abogacia.gov.py,public
569148,chaconet.com.py,private
569467,tl.com.py,private
572167,itaipu.gov.py,public
576826,newyorkstore.com.py,private
584883,ruc.com.py,private
588523,gonzalezgimenez.com.py,private
591924,arete.com.py,private
595300,practipago.com.py,private
595997,supermas.com.py,private
596179,tiendamovil.com.py,private
596313,tuti.com.py,private
599419,asa.edu.py,public
599612,chevrolet.com.py,private
605256,alex.com.py,private
611365,inverfin.com.py,private
612138,schmitzinformatica.com.py,private
616672,antsv.gov.py,public
619431,nanduti.com.py,private
619993,farmaciacatedral.com.py,private
621344,uninorte.edu.py,public
632285,raynet.com.py,private
636919,cloud.com.py,private
637198,kia.com.py,private
637770,pagoexpress.com.py,private
646213,remax.com.py,private
650881,infocasas.com.py,private
652536,mti.net.py,private
653047,snt.com.py,private
655978,mef.gov.py,public
657982,5dias.com.py,private
658650,c9n.com.py,private
660948,eglobalt.com.py,private
664591,biggie.com.py,private
667523,sallustro.com.py,private
673715,atlas.com.py,private
684007,ticketea.com.py,private
691489,sfp.gov.py,public
698979,casinocarnavalonline.com.py,private
701316,personalpay.com.py,private
702097,electropar.com.py,private
704474,anr.org.py,private
704612,sinafocal.gov.py,public
708100,motores.com.py,private
709977,lanet.com.py,private
714979,giganet.net.py,private
717502,rondina.com.py,private
724049,maxicambios.com.py,private
724726,stock.com.py,private
730245,decathlon.com.py,private
733860,fundacionparaguaya.org.py,private
736355,wepa.com.py,private
737490,upe.edu.py,public
737785,hacienda.gov.py,public
739214,kenton.com.py,private
739742,columbia.edu.py,public
740322,snpp.edu.py,public
741354,hi.net.py,private
744380,360.com.py,private
744999,69.com.py,private
756421,carden.com.py,private
756880,catastro.gov.py,public
756936,cba.com.py,private
757253,centralshop.com.py,private
757697,chenson.com.py,private
757706,cherogapora.gov.py,public
758066,cinae.mil.py,private
758145,cines.com.py,private
758982,cobro.com.py,private
759397,compulandia.com.py,private
760330,crowncityplay.com.py,private
763720,dropi.com.py,private
765322,electroban.com.py,private
765325,electrodiesel.com.py,private
765482,ellector.com.py,private
765685,emisoras.com.py,private
766589,essap.com.py,private
766993,evirtual-unisal.edu.py,public
767744,farmaoliva.com.py,private
767955,fceune.edu.py,public
769303,fortis.com.py,private
769446,fpj.com.py,private
771256,gesticlaro.com.py,private
771282,gestur.com.py,private
771622,giselestephanie.com.py,private
772796,grupoepem.com.py,private
776714,inaesvirtual.edu.py,public
