rank_global,domain,sector
2906,google.com.pe,private
5390,elcomercio.pe,private
7340,rpp.pe,private
7528,falabella.com.pe,private
8210,ripley.com.pe,private
8837,betano.pe,private
9137,www.gob.pe,public
9693,flashscore.pe,private
9818,futbollibres.pe,private
10184,skokka.com.pe,private
11695,xnhau.pe,private
12617,larepublica.pe,private
13527,shop.pe,private
14375,sunat.gob.pe,public
18635,pucp.edu.pe,public
19099,promart.pe,private
19318,plazavea.com.pe,private
21110,minsa.gob.pe,public
21171,utp.edu.pe,public
21428,oechsle.pe,private
22514,betsson.pe,private
22617,hianime.pe,private
23428,programateapuesto.pe,private
23744,khata.pe,private
24011,mercadolibre.com.pe,private
25392,latinka.com.pe,private
25979,futbollibrestv.pe,private
27857,gilat.com.pe,private
31381,gestion.pe,private
32159,pinup.pe,private
36171,peru21.pe,private
36353,rcp.net.pe,private
40853,diariocorreo.pe,private
42139,americatv.com.pe,private
42332,unmsm.edu.pe,public
43917,uni.edu.pe,public
46577,bbva.pe,financial
47736,unired.net.pe,private
49374,ucv.edu.pe,public
49745,interbank.pe,financial
50383,upc.edu.pe,public
50665,sodimac.com.pe,private
51222,cientifica.edu.pe,public
51658,unitru.edu.pe,public
51790,claro.com.pe,private
52476,libero.pe,private
53106,mercadopago.com.pe,private
53706,telesco.pe,private
53857,continental.edu.pe,public
56400,andina.pe,private
58571,elperuano.pe,private
59847,soap2day.pe,private
61540,reniec.gob.pe,public
61619,blogspot.pe,private
62641,adidas.pe,private
63668,mef.gob.pe,public
64183,upn.edu.pe,public
64265,unsa.edu.pe,public
64528,bcp.com.pe,financial
65815,mtc.gob.pe,public
66200,hiraoka.com.pe,private
66773,watchseries.pe,private
67768,bancofalabella.pe,financial
68825,entel.pe,private
68897,lpderecho.pe,private
69130,putlocker.pe,private
69239,expreso.com.pe,private
69290,bn.com.pe,private
69726,teleticket.com.pe,private
69929,latina.pe,private
70293,unap.edu.pe,public
70389,movistar.com.pe,private
70618,inkabet.pe,private
71555,bumeran.com.pe,private
72050,ucsm.edu.pe,public
73286,inkafarma.pe,private
73721,unheval.edu.pe,public
74075,teapuesto.pe,private
74255,cineplanet.com.pe,private
74401,exitosanoticias.pe,private
74420,mifarma.com.pe,private
74475,pj.gob.pe,public
75202,afpintegra.pe,private
75784,nike.com.pe,private
77688,tailoy.com.pe,private
78540,uwiener.edu.pe,public
78593,perueduca.pe,private
78654,metro.pe,private
78734,tiendaclaro.pe,private
79325,upao.edu.pe,public
80285,buenazo.pe,private
80647,craft.pe,private
81176,betsafe.pe,private
81196,innovafamily.pe,private
81363,usat.edu.pe,public
81519,espn.com.pe,private
81949,redbus.pe,private
82335,lacuracao.pe,private
82521,ucss.edu.pe,public
82589,urbania.pe,private
82656,efe.com.pe,private
83091,shalom.com.pe,private
85419,transfermarkt.pe,private
85551,5555.pe,private
85736,empleosperu.gob.pe,public
86132,natura.com.pe,private
86429,bet4.pe,private
86457,afpnet.com.pe,private
86528,ticketmaster.pe,private
86589,shalom.pe,private
86809,bet365.pe,private
87258,misentinel.com.pe,private
87427,radios.com.pe,private
87548,tinbet.pe,private
88114,coolbox.pe,private
89244,aulavirtualusmp.pe,private
90386,sat.gob.pe,public
90520,ichvirtual.edu.pe,public
90955,aulauss.edu.pe,public
91267,somosmoto.pe,private
91354,acarrion.edu.pe,public
91559,locanto.com.pe,private
91653,radiosdelperu.com.pe,private
92090,upla.edu.pe,public
92357,luzdelsur.pe,private
92379,topitop.pe,private
93605,tottus.com.pe,private
94067,pagalo.pe,private
95317,cholotube.com.pe,private
95491,golesliga1max.pe,private
96890,ulima.edu.pe,public
97508,aduanet.gob.pe,public
97654,interseguro.pe,private
97842,sise.edu.pe,public
98877,unica.edu.pe,public
99744,scielo.org.pe,private
100059,andyday.pe,private
100682,bitel.com.pe,private
100742,udh.edu.pe,public
101265,wowperu.pe,private
101425,rnp.gob.pe,public
101647,myradioenvivo.pe,private
101746,elpopular.pe,private
102303,cinepolis.com.pe,private
103640,fuzeforge.pe,private
104444,autonomadeica.edu.pe,public
111415,entel.net.pe,private
112743,lamula.pe,private
116089,yachay.pe,private
116263,flx.com.pe,private
118680,impsat.net.pe,private
121992,tripadvisor.com.pe,private
122723,urp.edu.pe,public
123377,gdocs.pe,private
123583,up.edu.pe,public
127042,usil.edu.pe,public
127734,policia.gob.pe,public
128717,opticalip.com.pe,private
130643,amx.com.pe,private
130722,nextnet.com.pe,private
131361,minedu.gob.pe,public
132590,scotiabank.com.pe,financial
133368,mercadoshops.com.pe,private
134655,concytec.gob.pe,public
136095,pagoefectivo.pe,private
137505,telmex.net.pe,private
137714,udep.edu.pe,public
138217,cuponidad.pe,private
138342,sis.gob.pe,public
139127,unsaac.edu.pe,public
139313,yape.com.pe,private
140726,sbs.gob.pe,public
142032,upeu.edu.pe,public
142176,zty.pe,private
142497,sunarp.gob.pe,public
146280,atv.pe,private
147217,elastika.pe,private
148029,airbnb.com.pe,private
148083,mineco.gob.pe,public
148229,despegar.com.pe,private
148388,uncp.edu.pe,public
148715,consulado.pe,private
149339,disitec.pe,private
150143,wong.pe,private
150927,rappi.com.pe,private
151247,trome.pe,private
151708,pelotalibres.pe,private
152293,buscalibre.pe,private
152394,igp.gob.pe,public
154169,ucsp.edu.pe,public
155026,ucontinental.edu.pe,public
156170,calidda.com.pe,private
157175,pacifico.com.pe,private
157929,essalud.gob.pe,public
158515,pnp.gob.pe,public
158771,mibanco.com.pe,financial
159142,osiptel.gob.pe,public
