rank_global,domain,sector
5113,google.com.uy,private
6731,elpais.com.uy,private
6959,montevideo.com.uy,private
8348,nic.uy,private
13766,anteldata.com.uy,private
14619,mercadolibre.com.uy,private
16154,elobservador.com.uy,private
26144,www.gub.uy,private
26303,vegamovies.uy,private
32987,antel.net.uy,private
49152,udelar.edu.uy,public
52408,antel.com.uy,private
55849,ladiaria.com.uy,private
62005,brou.com.uy,private
62200,mercadopago.com.uy,private
62767,anteldata.net.uy,private
63210,infocasas.com.uy,private
64673,movistar.com.uy,private
67621,blogspot.com.uy,private
67833,seciu.edu.uy,public
68618,anep.edu.uy,public
71338,ceibal.edu.uy,public
71373,fmed.edu.uy,public
72607,subrayado.com.uy,private
75661,farmashop.com.uy,private
78296,tiendamia.com.uy,private
81857,dgi.gub.uy,private
83068,sodimac.com.uy,private
83414,gallito.com.uy,private
88386,montevideo.gub.uy,private
89198,loi.com.uy,private
91266,labanca.com.uy,private
91521,itaulink.com.uy,financial
93174,radios.com.uy,private
93539,ces.edu.uy,public
94174,bps.gub.uy,private
95571,inumet.gub.uy,private
95660,locanto.com.uy,private
95664,loteria.gub.uy,private
96038,sucive.gub.uy,private
97196,agesic.gub.uy,private
99048,tickantel.com.uy,private
99321,guapa.com.uy,private
103543,mercadoshops.com.uy,private
103696,meteored.com.uy,private
107633,corteelectoral.gub.uy,private
118192,impo.com.uy,private
118226,fing.edu.uy,public
119519,seciu.uy,private
122516,cure.edu.uy,public
125437,ort.edu.uy,public
126940,fic.edu.uy,public
129768,adinet.com.uy,private
134317,santander.com.uy,financial
137487,al.uy,private
140333,unorte.edu.uy,public
142485,tiendainglesa.com.uy,private
147291,dedicado.com.uy,private
149495,bbva.com.uy,financial
150920,itau.com.uy,financial
153583,nty.uy,private
155742,meliplay.com.uy,private
165154,interior.edu.uy,public
165830,busqueda.com.uy,private
174066,nazi.uy,private
174740,claro.com.uy,private
174780,mercadoplay.uy,private
177410,oca.com.uy,private
177616,rau.edu.uy,public
179644,utu.edu.uy,public
185986,espn.com.uy,private
186192,divino.com.uy,private
186325,minterior.gub.uy,private
187834,redtickets.uy,private
188605,scotiabank.com.uy,financial
189118,delsol.uy,private
191478,donweb.uy,private
192805,vera.com.uy,private
198224,mercadoplay.com.uy,private
199100,maronas.com.uy,private
199361,netgate.com.uy,private
200891,tata.com.uy,private
200923,lr21.com.uy,private
201836,indian.com.uy,private
205058,e-sistarbanc.com.uy,private
205917,buscojobs.com.uy,private
206385,remotes.com.uy,private
206425,fmgente.com.uy,private
206895,anda.com.uy,private
210475,dac.com.uy,private
211828,urubus.com.uy,private
212814,dges.edu.uy,public
213716,maronasonline.com.uy,private
214017,onsc.gub.uy,private
214666,tiendasmontevideo.com.uy,private
214767,uruimporta.com.uy,private
222207,ceip.edu.uy,public
225400,bas.com.uy,private
233308,wrm.org.uy,private
233989,iduruguay.gub.uy,private
234394,200.com.uy,private
234565,carlosgutierrez.com.uy,private
234617,credifama.com.uy,private
235331,sisi.com.uy,private
238000,fder.edu.uy,public
240843,scielo.edu.uy,public
241949,fcien.edu.uy,public
242349,abitab.com.uy,private
248338,ute.com.uy,private
250370,ancel.net.uy,private
251505,pedidosya.com.uy,private
252562,easymail.net.uy,private
253663,bcu.gub.uy,private
256089,auf.org.uy,private
280614,ucu.edu.uy,public
282280,ancap.com.uy,private
286216,um.edu.uy,public
295465,fadu.edu.uy,public
313419,psico.edu.uy,public
315954,starbucks.com.uy,private
323484,nic.org.uy,private
323731,youtube.com.uy,private
327054,gokangu.uy,private
338909,brecha.com.uy,private
339969,youtube.uy,private
340380,fq.edu.uy,public
352870,speedtestantel.uy,private
355254,mec.gub.uy,private
362272,fvet.edu.uy,public
363258,unidos.edu.uy,public
367411,correo.com.uy,private
368450,globalmedia.com.uy,private
369404,buscalibre.uy,private
370698,uyserver.com.uy,private
374566,presidencia.gub.uy,private
375052,mosca.com.uy,private
404980,cfe.edu.uy,public
409983,techtel.com.uy,private
414533,carasycaretas.com.uy,private
416463,bse.com.uy,private
419448,cgn.gub.uy,private
419930,uce.gub.uy,private
422781,hc.edu.uy,public
425686,fepremi.com.uy,private
428243,supermatch.com.uy,private
430798,telenoche.com.uy,private
438124,tenfield.com.uy,private
441831,asse.com.uy,private
453535,ejercito.mil.uy,private
456455,1122.com.uy,private
469337,canal10.com.uy,private
474381,ultra.edu.uy,public
475083,buquebus.com.uy,private
478398,nacional.uy,private
483877,juanconstruye.com.uy,private
485981,midinero.com.uy,private
489539,lacework.com.uy,private
494775,despegar.com.uy,private
495803,poderjudicial.gub.uy,private
508916,mediospublicos.uy,private
512817,rappi.com.uy,private
514164,flyb.uy,private
519176,kayak.com.uy,private
519963,utec.edu.uy,public
524607,trescruces.com.uy,private
525368,zfm.com.uy,private
527246,sarandi690.com.uy,private
528311,stadium.com.uy,private
528608,solucioneslinux.com.uy,private
530905,teatrosolis.org.uy,private
531024,aeropuertodecarrasco.com.uy,private
536090,pwstasp.com.uy,private
539946,ho.com.uy,private
543964,odon.edu.uy,public
544468,cita.com.uy,private
553799,once.com.uy,private
554951,covercompany.com.uy,private
556249,salarios.com.uy,private
560706,jetmar.com.uy,private
562716,pronto.com.uy,private
564437,casamiento.com.uy,private
572240,anp.com.uy,private
572440,elpais.uy,private
573952,registrar.com.uy,private
575441,cinemateca.org.uy,private
576086,ose.com.uy,private
578897,pigalle.com.uy,private
580652,mrree.gub.uy,private
580843,sport890.com.uy,private
581625,radiomontecarlo.com.uy,private
582049,lacework.uy,private
586766,imcanelones.gub.uy,private
592191,biller.uy,private
594374,lorealparis.uy,private
596298,tuid.uy,private
603151,enperspectiva.uy,private
606123,chevrolet.com.uy,private
607386,bosch.com.uy,private
608081,agesor.com.uy,private
608178,disco.com.uy,private
