subdomain,base_domain,web_ports,services_count,has_http,has_https
01826732.bancochile.cl,bancochile.cl,"80,443",2,True,True
03.doctoralia.cl,doctoralia.cl,"80,443",2,True,True
10.hostgator.cl,hostgator.cl,"80,443",2,True,True
11.hostgator.cl,hostgator.cl,"80,443",2,True,True
13.trabajando.cl,trabajando.cl,"80,443",2,True,True
201-88.eq.ubiobio.cl,ubiobio.cl,"80,443",2,True,True
360.maicao.cl,maicao.cl,"80,443",2,True,True
3858076.lider.cl,lider.cl,"80,443,8080,8443",4,True,True
3dsmc.qa.bancochile.cl,bancochile.cl,"80,443,8080,8443",4,True,True
3dsqa.bancochile.cl,bancochile.cl,"80,443,8080,8443",4,True,True
3pp.spba.spm.shopee.cl,shopee.cl,"80,443",2,True,True
3pp.spba.spm.test.shopee.cl,shopee.cl,"80,443",2,True,True
5.milicenciamedica.cl,milicenciamedica.cl,"80,443",2,True,True
6.milicenciamedica.cl,milicenciamedica.cl,"80,443",2,True,True
8498729.gourmet.cl,gourmet.cl,"80,443",2,True,True
a.lasegunda.ecn.cl,ecn.cl,"80,443",2,True,True
a1.creattiva.cl,creattiva.cl,"80,443",2,True,True
a2.lider.cl,lider.cl,"80,443",2,True,True
aaktao.entel.cl,entel.cl,"80,443",2,True,True
abastecimiento.aguasandinas.cl,aguasandinas.cl,"80,443,8080,8443",4,True,True
abc.trabajando.cl,trabajando.cl,"80,443",2,True,True
ablink.info.yapo.cl,yapo.cl,"80,443,8080,8443",4,True,True
ablink.novedades.yapo.cl,yapo.cl,"80,443,8080,8443",4,True,True
academia.cajalosandes.cl,cajalosandes.cl,"80,443",2,True,True
academico.google.cl,google.cl,"80,443",2,True,True
acamedia.mat.uc.cl,uc.cl,"80,443",2,True,True
acceso.conicyt.cl,conicyt.cl,"80,443",2,True,True
accesodr.bcentral.cl,bcentral.cl,443,1,False,True
accesoifdr.bcentral.cl,bcentral.cl,443,1,False,True
accesotodotp.duoc.cl,duoc.cl,443,1,False,True
accl.redbanc.cl,redbanc.cl,443,1,False,True
account.archdaily.cl,archdaily.cl,"80,443",2,True,True
accountrecovery.mercadolibre.cl,mercadolibre.cl,"80,443",2,True,True
accounts.autofact.cl,autofact.cl,"80,443",2,True,True
accounts.claveunica.gob.cl,gob.cl,"80,443",2,True,True
accounts.google.cl,google.cl,"80,443",2,True,True
aceleraconpremium.trabajando.cl,trabajando.cl,"80,443",2,True,True
aceptacion-bases.tvn.cl,tvn.cl,"80,443",2,True,True
achs.trabajando.cl,trabajando.cl,"80,443,8080,8443",4,True,True
aciudadana.ministeriodesarrollosocial.gob.cl,gob.cl,"80,443",2,True,True
acme.aguasandinas.cl,aguasandinas.cl,443,1,False,True
acomcalle2015.ministeriodesarrollosocial.gob.cl,gob.cl,"80,443,8080",3,True,True
aconcaguafoods.trabajando.cl,trabajando.cl,"80,443",2,True,True
acreditacionpregrado.usach.cl,usach.cl,"80,443",2,True,True
acreditash.ministeriodesarrollosocial.gob.cl,gob.cl,"80,443",2,True,True
acreencias.cmfchile.cl,cmfchile.cl,443,1,False,True
acs.op.entel.cl,entel.cl,8080,1,True,False
acsmds.redbanc.cl,redbanc.cl,"80,443,8080,8443",4,True,True
acsmdstest.redbanc.cl,redbanc.cl,"80,443,8080,8443",4,True,True
acstest.redbanc.cl,redbanc.cl,"80,443,8080,8443",4,True,True
acsvisa.redbanc.cl,redbanc.cl,"80,443,8080,8443",4,True,True
acsvisatest.redbanc.cl,redbanc.cl,"80,443,8080,8443",4,True,True
actas.aguasandinas.cl,aguasandinas.cl,"80,443,8080,8443",4,True,True
actividadesdocentes.inacap.cl,inacap.cl,"80,443",2,True,True
actividadextracurricular.usm.cl,usm.cl,"80,443,8080,8443",4,True,True
ad.portalnet.cl,portalnet.cl,"80,443,8080,8443",4,True,True
adagio.trabajando.cl,trabajando.cl,"80,443",2,True,True
addresses-test.mercadolibre.cl,mercadolibre.cl,"80,443",2,True,True
adfs.aguasandinas.cl,aguasandinas.cl,"80,443,8080,8443",4,True,True
adfs.correos.cl,correos.cl,443,1,False,True
adfs.inacap.cl,inacap.cl,443,1,False,True
adh.lb.mutual.cl,mutual.cl,"80,443",2,True,True
adh.mutual.cl,mutual.cl,"80,443",2,True,True
adh1.mutual.cl,mutual.cl,"80,443",2,True,True
adh2.mutual.cl,mutual.cl,"80,443,8080",3,True,True
adherencia.inf.udec.cl,udec.cl,"80,443",2,True,True
adjuntoshistoriaclinica-cmd-qa.redsalud.cl,redsalud.cl,"80,443",2,True,True
adjuntoshistoriaclinica-iquique.redsalud.cl,redsalud.cl,"80,443",2,True,True
adjuntoshistoriaclinica-vitacura.redsalud.cl,redsalud.cl,"80,443",2,True,True
adkit.milicenciamedica.cl,milicenciamedica.cl,"80,443",2,True,True
adm-appclinicos.redsalud.cl,redsalud.cl,"80,443,8080,8443",4,True,True
adm-propiedades.tgr.cl,tgr.cl,"80,443",2,True,True
adm.futbol.biobiochile.cl,biobiochile.cl,"80,443",2,True,True
admbck.inacap.cl,inacap.cl,"80,443",2,True,True
admin-devtramitesjuridico.dt.gob.cl,gob.cl,"80,443",2,True,True
admin-suac.dt.gob.cl,gob.cl,"80,443",2,True,True
admin-tramitesjuridico.dt.gob.cl,gob.cl,"80,443",2,True,True
admin.at.kupos.cl,kupos.cl,80,1,True,False
admin.kupos.cl,kupos.cl,"80,443",2,True,True
admin.preunic.cl,preunic.cl,"80,443",2,True,True
admin.redsalud.cl,redsalud.cl,"80,443,8080,8443",4,True,True
admin.trabajando.cl,trabajando.cl,"80,443,8080,8443",4,True,True
